adi_threshold,cv2_threshold,score,separation,entropy,min_share,min_weighted_share,min_count_share,smooth_share,erratic_share,intermittent_share,lumpy_share,smooth_count_share,erratic_count_share,intermittent_count_share,lumpy_count_share,iteration
2.3333333333333335,1.0043113491779292,0.7115780052134176,0.6679181785577474,0.9589836895955497,0.13379424665161152,0.13379424665161152,0.130521327014218,0.36795671747671926,0.24620572500277862,0.2520433108688883,0.13379424665161152,0.3771563981042654,0.24511848341232229,0.2472037914691943,0.130521327014218,1
2.3333333333333335,1.0041488817220292,0.7117037687443184,0.6681327111535794,0.9586064284251724,0.12779539931769424,0.12779539931769424,0.12529618045682875,0.3582943255546633,0.2521909512025022,0.26171932392513914,0.12779539931769424,0.3677376551985594,0.25163491612169464,0.25533124822291725,0.12529618045682875,2
2.5,1.0207257038550528,0.7121474955490418,0.6708615665967209,0.9461010929455269,0.11898404048576612,0.11898404048576612,0.11562885034593877,0.38518925920431013,0.26118293549683863,0.23464376481308397,0.11898404048576612,0.39465453511515497,0.2612074684863994,0.22850914605250688,0.11562885034593877,3
2.5,1.0021572482368513,0.7106751077054165,0.6696659770006139,0.9430601816992983,0.11523715758270871,0.11523715758270871,0.11165876777251185,0.38755144531307545,0.26487873067814827,0.23233266642606692,0.11523715758270871,0.3977251184834123,0.2642654028436019,0.22635071090047393,0.11165876777251185,4
2.3333333333333335,1.009882881352333,0.7114820140898803,0.6678975958297544,0.958460384230594,0.12860841855704544,0.12860841855704544,0.12529618045682875,0.36063450872255604,0.2514392643310343,0.2593178083893632,0.12860841855704544,0.37077054307648566,0.25078191640602787,0.25315136006065775,0.12529618045682875,5
2.3333333333333335,0.9975062293311049,0.7103141362805672,0.666778205928938,0.9570177416064662,0.1272341914652534,0.1272341914652534,0.1243366186504928,0.36377449215000035,0.2528774351220647,0.2561138812626807,0.1272341914652534,0.3724412433661865,0.2519901440485216,0.2512319939347991,0.1243366186504928,6
2.3333333333333335,1.0157858884224227,0.7133824880885018,0.6699744862050321,0.9593611654281643,0.12958655030321942,0.12958655030321942,0.12654028436018958,0.35877227895813385,0.25036414473755064,0.26127702600109465,0.12958655030321942,0.36834123222748816,0.2490047393364929,0.2561137440758294,0.12654028436018958,7
2.3333333333333335,1.0007933553755162,0.7105375128755202,0.6672271561921632,0.9559628674145434,0.12615777659695324,0.12615777659695324,0.12302151454838404,0.36577709057613095,0.253884805172417,0.25418032765449783,0.12615777659695324,0.37541465263956025,0.2529618045682874,0.24860202824376837,0.12302151454838404,8
2.3076923076923075,1.0160456632211907,0.7121137336552879,0.6689406835103173,0.9567610178101209,0.12593486077935345,0.12593486077935345,0.1223696682464455,0.36218683777355193,0.25402546158286227,0.25785283986423035,0.12593486077935345,0.37156398104265403,0.25364928909952605,0.2524170616113744,0.1223696682464455,9
2.3333333333333335,0.9971224094080857,0.7096996658185659,0.6664528568858146,0.95476491643749,0.12093867504931938,0.12093867504931938,0.11962085308056872,0.35950540927620145,0.2591165150870747,0.26043940058740234,0.12093867504931938,0.3667298578199052,0.25838862559241704,0.255260663507109,0.11962085308056872,10
