adi_threshold,cv2_threshold,score,separation,entropy,min_share,min_weighted_share,min_count_share,smooth_share,erratic_share,intermittent_share,lumpy_share,smooth_count_share,erratic_count_share,intermittent_count_share,lumpy_count_share
2.4545454545454546,0.9797744030734977,0.7121764114724842,0.6701410275399804,0.9503769204233391,0.12088684957022443,0.12088684957022443,0.1172400720310871,0.36999906537255756,0.27914339606650207,0.22997068899071474,0.12088684957022443,0.38015353994882,0.27893090702303097,0.2236754809970619,0.1172400720310871
2.3333333333333335,0.9797744030734977,0.7121608003623453,0.6677029042104683,0.9640888785563151,0.1344870317220126,0.1344870317220126,0.13155151170505167,0.3482230191827732,0.26554321391471414,0.251746735180499,0.1344870317220126,0.35740688086437306,0.26461946734906644,0.24642214008150887,0.13155151170505167
2.3333333333333335,1.0172913274134003,0.7120541565019582,0.6690133072480773,0.9559523022739502,0.12559363210198243,0.12559363210198243,0.12302151454838404,0.3643729079282679,0.2493933251692194,0.2606401348005287,0.12559363210198243,0.3737086532082267,0.24831769500521278,0.2549521372381765,0.12302151454838404
2.4545454545454546,1.0172913274134003,0.7120007140742086,0.6713802619934961,0.9421832758649129,0.11264824976655091,0.11264824976655091,0.10937351909771585,0.38680375393440974,0.26233870750465044,0.23820928879438794,0.11264824976655091,0.39711875651597006,0.261965690455881,0.23154203393043313,0.10937351909771585
2.4545454545454546,0.9442831766226341,0.7113259064420565,0.6680746045838061,0.9564166169721424,0.12823293205548275,0.12823293205548275,0.12425362524879158,0.35242429466481645,0.2967181667742435,0.22262460650545626,0.12823293205548275,0.362240545919818,0.296843901052033,0.21666192777935742,0.12425362524879158
2.3333333333333335,0.9442831766226341,0.7112873992321811,0.6656151922156397,0.9700965723259157,0.14257707778129877,0.14257707778129877,0.1393232868922377,0.33139221204905955,0.2823740210484278,0.24365668912121277,0.14257707778129877,0.3402521088048526,0.28177423940858687,0.23865036489432281,0.1393232868922377
2.4545454545454546,1.0595521457887163,0.7111035541897525,0.6720680604909894,0.9323046851494099,0.10540041908447444,0.10540041908447444,0.10254952137238177,0.40457703967095804,0.24456542176810328,0.2454571194764645,0.10540041908447444,0.4152213060373424,0.2438631409345086,0.23836603165576722,0.10254952137238177
2.3333333333333335,1.0595521457887163,0.7110974215750719,0.6696389743222662,0.9460286226743051,0.11730874008189136,0.11730874008189136,0.11515496161501279,0.381109132326801,0.23265710077068658,0.26892502682061975,0.11730874008189136,0.39076864752156193,0.23125770069187754,0.26281869017154774,0.11515496161501279
2.272727272727273,0.9797744030734977,0.7110846259336497,0.6655183328342774,0.9692936201634267,0.14083867843491168,0.14083867843491168,0.13761728746090418,0.33737356402168117,0.25919156720181574,0.26259619034159115,0.14083867843491168,0.3472656620225571,0.2585536915932139,0.2565633589233248,0.13761728746090418
2.272727272727273,1.0172913274134003,0.7110564443217751,0.6669063491291893,0.9612403170797617,0.13184209194478275,0.13184209194478275,0.12899251255805136,0.3534202658970771,0.24314486532641943,0.27159277683171956,0.13184209194478275,0.3634726566202256,0.24234669699554545,0.2651881338261776,0.12899251255805136
2.6,0.9797744030734977,0.7101717660653565,0.6699191426158688,0.9382699656124532,0.11115583736833061,0.11115583736833061,0.10776229741256753,0.3852329144707002,0.2888744082683966,0.21473683989257264,0.11115583736833061,0.3947493128613402,0.2884086816415506,0.20907970808454174,0.10776229741256753
2.272727272727273,0.9442831766226341,0.7101581231787711,0.6633810073919872,0.9752284459705468,0.14910085209225382,0.14910085209225382,0.1455786181404606,0.32071488448602387,0.2758502467374724,0.25433401668424926,0.14910085209225382,0.33030044545540704,0.27551890816036395,0.24860202824376837,0.1455786181404606
2.272727272727273,1.0595521457887163,0.710147154474088,0.6675772666216431,0.9513765189712767,0.12338507232663554,0.12338507232663554,0.12093640413230973,0.36998436269755364,0.2265807685259426,0.28004979644986633,0.12338507232663554,0.3803430954411904,0.2254762581745806,0.27324424225191923,0.12093640413230973
2.6,1.0172913274134003,0.710015245585499,0.6711775292094492,0.9300956383831148,0.10360764479353807,0.10360764479353807,0.10055918870249266,0.40272801026143384,0.2713793124776631,0.22228503246736478,0.10360764479353807,0.4123779736517866,0.27078002085110414,0.2162828167946166,0.10055918870249266
2.3333333333333335,0.9104842264238117,0.7094127871954178,0.6626880347514638,0.9741863843778243,0.15047419986510277,0.15047419986510277,0.14700028433323856,0.3142641918473295,0.2995020412501593,0.23575956703740888,0.15047419986510277,0.3233816699838878,0.2986446782295517,0.23097336745332195,0.14700028433323856
2.6,0.9442831766226341,0.7093310464561171,0.6678614308505151,0.9443255348878622,0.11796486603209565,0.11796486603209565,0.11430196189934604,0.36712108994146514,0.30698623279763104,0.20792781122880774,0.11796486603209565,0.3763624301014122,0.30679556440147854,0.20254004359776326,0.11430196189934604
2.4545454545454546,0.9104842264238117,0.7092533222006484,0.6649480073836378,0.9603167728303754,0.13462220167429154,0.13462220167429154,0.1304141787508293,0.3337884219980894,0.315354039440969,0.21623533688664745,0.13462220167429154,0.3438536631598901,0.31523078381196096,0.21050137427731969,0.1304141787508293
2.6,1.0595521457887163,0.7091628788299386,0.6719129010096467,0.9202460864782589,0.09707109094771356,0.09707109094771356,0.09439863520045494,0.4212125728342339,0.2528947499048642,0.22882158631318933,0.09707109094771356,0.43114396739645533,0.2520140271064354,0.22244337029665434,0.09439863520045494
2.3333333333333335,1.1033413936395722,0.7087323559488758,0.6689550228471468,0.9341372435253403,0.10906655965113315,0.10906655965113315,0.10700407544308596,0.3978234493604167,0.21594278373707174,0.2771672072513775,0.10906655965113315,0.4074495308501564,0.2145768173632831,0.27096957634347457,0.10700407544308596
2.4545454545454546,1.1033413936395722,0.7086811535235575,0.6713268356041469,0.9203556217335518,0.09777547314599011,0.09777547314599011,0.0950620794237513,0.42190859119684804,0.22723387024221448,0.2530820654149487,0.09777547314599011,0.4325656335892332,0.22651881338261776,0.2458534736043977,0.0950620794237513
2.1666666666666665,0.9797744030734977,0.7086511774735537,0.6615781241297249,0.9753984797552493,0.15145268617662763,0.15145268617662763,0.14813761728746092,0.32490404835629183,0.24857755946010024,0.27506570600698005,0.15145268617662763,0.33437588854137046,0.2480333617666572,0.2694531324045114,0.14813761728746092
2.1666666666666665,1.0172913274134003,0.708650162521147,0.6629913636274065,0.9673833562523437,0.14210750217080778,0.14210750217080778,0.13913373139986732,0.3406021527159981,0.2328794551003946,0.2844108900127992,0.14210750217080778,0.35020377215429815,0.2322054781537295,0.278457018292105,0.13913373139986732
2.272727272727273,0.9104842264238117,0.7084527516412995,0.6606166833244664,0.9795238054366869,0.158163750492214,0.158163750492214,0.15429817078949862,0.30475264060044943,0.2918124906230489,0.24527111828428974,0.158163750492214,0.3144725618424794,0.29134679177329165,0.23988247559473036,0.15429817078949862
2.1666666666666665,0.9442831766226341,0.7078004151842892,0.6595172585324021,0.9814049695449822,0.16045259249502303,0.16045259249502303,0.1568571699364989,0.30898310148168845,0.26449850633470406,0.26606579968858557,0.16045259249502303,0.318168893943702,0.26424035636432563,0.2607335797554734,0.1568571699364989
2.272727272727273,1.1033413936395722,0.7077466391704589,0.6668565546329,0.939457118216626,0.11461036605740459,0.11461036605740459,0.11231162922945692,0.38616615389269654,0.21039897733080037,0.28882450271909654,0.11461036605740459,0.3965500900388589,0.20926926357691214,0.2818690171547721,0.11231162922945692
