candidate,adi_threshold,cv2_threshold,score,separation,entropy,min_share,min_weighted_share,min_count_share,smooth_share,erratic_share,intermittent_share,lumpy_share,smooth_count_share,erratic_count_share,intermittent_count_share,lumpy_count_share
Data-driven (bootstrap median),2.3333333333333335,1.0079624556754672,0.7123658377949516,0.6689601231101174,0.9583315543423447,0.12847354498983668,0.12847354498983668,0.1257700691877547,0.3609886949886343,0.252777538108853,0.25776022191267456,0.12847354498983668,0.37029665434555964,0.2517296938678798,0.2522035825988058,0.1257700691877547
Syntetos-Boylan reference,1.32,0.49,0.4280860369497118,0.3787366392219982,0.7077326240734224,0.02542147192152419,0.02542147192152419,0.027106435408965974,0.02542147192152419,0.17140246585269153,0.16613826936878176,0.6370377928570162,0.027106435408965974,0.17429627523457492,0.168514832717278,0.6300824566391812
Current EDA,3.99,0.89,0.6326721691112641,0.6007227786652828,0.8137187149718249,0.05490209309140066,0.05490209309140066,0.05184342716330206,0.4273109213115868,0.4101967009069073,0.1075902846901034,0.05490209309140066,0.4361671879442707,0.40887119704293434,0.10311818784949293,0.05184342716330206
