region,Erratic,Excluded,Insufficient,Intermittent,Lumpy,Smooth
Chưa xác định,1.5605493133583022,1.0611735330836454,62.98377028714107,20.72409488139825,5.493133583021224,8.177278401997503
DNB,10.58042686100989,8.589276418532014,48.41228526808954,10.294117647058822,5.58302967204581,16.540864133263923
MT-TNG,9.759036144578314,7.7861445783132535,49.87951807228916,11.97289156626506,4.984939759036145,15.617469879518072
TNB,12.53616200578592,10.778956391299689,47.86242365798778,7.96099860709311,5.1323261545055185,15.729133183327976
