feature,availability,paired_rows,eligible_panel_rows,coverage,distinct_values,pearson_raw,pearson_log1p,covariance,feature_std,target_std
rolling3_observed,forecast_safe,100287,100287,1.0,22922,0.702954616907662,0.522532405480416,58572.7635214814,283.532581366407,293.876903696306
lag1,forecast_safe,100287,100287,1.0,8918,0.652250787400343,0.466167815073532,58034.4643134517,302.765169950577,293.876903696307
revenue_lag1,forecast_safe,100287,100287,1.0,57273,0.561591793410704,0.31400650343822,4161016803.37685,25212346.1662998,293.876903696307
lag2,forecast_safe,66584,100287,0.663935,8028,0.636885022567257,0.281534461715106,68303.9444221671,344.379690790191,293.876903696306
line_count_lag1,forecast_safe,100287,100287,1.0,45,0.181100595576555,0.237510737860266,167.59685710687,3.14905710477842,293.876903696305
lag3,forecast_safe,58328,100287,0.581611,7676,0.635862820508427,0.218548227868419,70612.0030349785,359.61491494063,293.876903696307
lag6,forecast_safe,41092,100287,0.409744,6697,0.631676202753327,0.111709567905967,74196.6342391942,368.499255670086,293.876903696307
tet_target,known_future,100287,100287,1.0,6,-0.0412900402984638,-0.0733603558823945,-2.43694835762843,0.200833225704917,293.876903696306
thang_gieng_target,known_future,100287,100287,1.0,7,0.00104971332233583,-0.0390673862817081,0.0569652769978514,0.184660517801778,293.876903696307
lag12,forecast_safe,17071,100287,0.170221,4655,0.676047988518135,0.0376946991963066,108076.66713114,457.106165760804,293.876903696306
thanh_minh_target,known_future,100287,100287,1.0,3,0.0231691867151868,0.0339163163798479,1.06824662439925,0.15689000767362,293.876903696307
trend_target,known_future,100287,100287,1.0,29,-0.034079317326177,-0.0255971862262835,-79.618915954502,7.94986801163168,293.876903696306
gg_current_target,leakage_if_unknown,100287,100287,1.0,23,0.00485791262113381,0.0209094668198276,6.36196984746207,4.456320850776,293.876903696306
rain_target,known_future,100287,100287,1.0,2,-0.0469849503105264,-0.0152515227644702,-6.71575145496872,0.48637404100014,293.876903696304
co_hon_target,known_future,100287,100287,1.0,5,-0.0086783368259843,-0.00863261476770536,-0.562261748236119,0.220463440735889,293.876903696305
gg_lag1_target,forecast_safe_if_published,100287,100287,1.0,23,-0.0167971898010238,-0.00458691878606933,-22.8729176592798,4.63361004344459,293.876903696308
