branch,branch_name,region,top_peer_branch,origin_month,last_quantity,quantity_lag1_from_origin,quantity_lag2_from_origin,quantity_lag3_from_origin,quantity_lag6_from_origin,quantity_lag12_from_origin,quantity_lag1_available,quantity_lag2_available,quantity_lag3_available,quantity_lag6_available,quantity_lag12_available,rolling_mean_3_asof_origin,rolling_mean_6_asof_origin,rolling_std_3_asof_origin,rolling_std_6_asof_origin,ewm_3_asof_origin,recent_growth_3m,region_ex_self_lag0,region_ex_self_lag1,region_ex_self_lag2,region_ex_self_lag3,system_ex_self_lag0,system_ex_self_lag1,active_base_skus_asof_origin,top5_abs_share_asof_origin,sku_hhi_asof_origin,top_peer_last_quantity,top_peer_lag1_quantity,target_month,horizon,target_quantity,seasonal_naive,trend_index,gg_trends_lag1,flag_mua_mua,ty_trong_chay_tet,ty_trong_thang_gieng,ty_trong_thang_co_hon,ty_trong_thanh_minh,target_month_number,target_month_sin,target_month_cos
018,Chi nhánh An Giang Unis,Tây Nam Bộ,050,2024-01-01,10084.51,,,,,,0,0,0,0,0,10084.51,10084.51,,,10084.51,,98736.04000000001,,,,330479.5,,187.0,0.260739490565233,0.0252848545679253,11981.21,,2024-02-01,1,5981.11,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
019,Chi nhánh Vũng Tàu Unis,Đông Nam Bộ,081,2024-01-01,3423.93,,,,,,0,0,0,0,0,3423.93,3423.93,,,3423.93,,63480.01,,,,337140.08,,118.0,0.342518684669371,0.0375244172031912,5237.1,,2024-02-01,1,3885.82,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
022,Chi nhánh Tây Ninh Unis,Đông Nam Bộ,094,2024-01-01,3465.55,,,,,,0,0,0,0,0,3465.55,3465.55,,,3465.55,,63438.39,,,,337098.46,,59.0,0.454854207845796,0.0607872090073889,2412.18,,2024-02-01,1,1346.8,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
023,Chi nhánh Lâm Đồng Unis,Tây Nguyên,079,2024-01-01,8959.63999999999,,,,,,0,0,0,0,0,8959.63999999999,8959.63999999999,,,8959.63999999999,,57040.840000000004,,,,331604.37,,147.0,0.37427843082981,0.0400384260815101,4338.3,,2024-02-01,1,2805.19,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
024,Chi nhánh Kiên Giang Unis,Tây Nam Bộ,008,2024-01-01,6766.87,,,,,,0,0,0,0,0,6766.87,6766.87,,,6766.87,,102053.68000000001,,,,333797.14,,151.0,0.18445160022285,0.0183899505359075,13811.34,,2024-02-01,1,1921.73,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
049,Chi nhánh Khánh Hòa Unis,Tây Nguyên,064,2024-01-01,5610.99,,,,,,0,0,0,0,0,5610.99,5610.99,,,5610.99,,60389.49,,,,334953.02,,99.0,0.282174803376944,0.0290158924867092,4220.23,,2024-02-01,1,4106.24,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
050,Chi nhánh An Giang Unimax,Tây Nam Bộ,018,2024-01-01,11981.21,,,,,,0,0,0,0,0,11981.21,11981.21,,,11981.21,,96839.34,,,,328582.8,,194.0,0.26067317073985,0.0250656066577258,10084.51,,2024-02-01,1,8725.98,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
059,Chi nhánh Bình Định Unimax,Tây Nguyên,000,2024-01-01,4449.13,,,,,,0,0,0,0,0,4449.13,4449.13,,,4449.13,,61551.35,,,,336114.88,,89.0,0.409549732194833,0.0552806842265378,88749.92,,2024-02-01,1,2972.22,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
060,Chi nhánh Bình Dương Unimax,Đông Nam Bộ,002,2024-01-01,7283.69,,,,,,0,0,0,0,0,7283.69,7283.69,,,7283.69,,59620.25,,,,333280.32,,131.0,0.238749864423115,0.0229454906801229,4696.74,,2024-02-01,1,1540.09,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
061,Chi nhánh Bình Phước Unimax,Đông Nam Bộ,073,2024-01-01,2782.09,,,,,,0,0,0,0,0,2782.09,2782.09,,,2782.09,,64121.850000000006,,,,337781.92,,79.0,0.347149085759267,0.0394861293673901,9201.11999999999,,2024-02-01,1,4147.55,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
